elements,time,sum,technique,grid_limit,block_size,sol_sm_percent,sol_memory_percent
"1000000","0.263","1.644725","multiplySeq","0","0","0","0"
"1000000","0.046","1.644725","multiplyCuda","1024","32","4.38","49.36"
"1000000","0.039","1.644725","multiplyCuda","1024","64","6.55","65.15"
"1000000","0.037","1.644725","multiplyCuda","1024","128","9.14","73.29"
"1000000","0.037","1.644725","multiplyCuda","1024","256","12.19","72.69"
"1000000","0.037","1.644725","multiplyCuda","1024","512","19.22","73.8"
"1000000","0.038","1.644725","multiplyCuda","1024","1024","30.23","72.75"
"1000000","0.043","1.644725","multiplyCuda","2048","32","5.83","58.35"
"1000000","0.038","1.644725","multiplyCuda","2048","64","8.54","69.25"
"1000000","0.038","1.644725","multiplyCuda","2048","128","12.13","72.98"
"1000000","0.039","1.644725","multiplyCuda","2048","256","19.37","74.6"
"1000000","0.038","1.644725","multiplyCuda","2048","512","31.76","76.21"
"1000000","0.038","1.644725","multiplyCuda","2048","1024","29.55","70.82"
"1000000","0.042","1.644725","multiplyCuda","4096","32","7.12","59.32"
"1000000","0.038","1.644725","multiplyCuda","4096","64","11.39","69.39"
"1000000","0.038","1.644725","multiplyCuda","4096","128","19.59","75.58"
"1000000","0.038","1.644725","multiplyCuda","4096","256","31.8","76.86"
"1000000","0.037","1.644725","multiplyCuda","4096","512","31.27","74.81"
"1000000","0.038","1.644725","multiplyCuda","4096","1024","29.01","69.91"
"1000000","0.042","1.644725","multiplyCuda","8192","32","8.6","53.69"
"1000000","0.041","1.644725","multiplyCuda","8192","64","14.22","57.06"
"1000000","0.038","1.644725","multiplyCuda","8192","128","26.35","65.51"
"1000000","0.038","1.644725","multiplyCuda","8192","256","32.15","77.75"
"1000000","0.038","1.644725","multiplyCuda","8192","512","31.41","75.57"
"1000000","0.039","1.644725","multiplyCuda","8192","1024","30.57","73.45"
"1000000","0.052","1.644725","multiplyCuda","16384","32","8.44","35.35"
"1000000","0.05","1.644725","multiplyCuda","16384","64","14.36","37.08"
"1000000","0.038","1.644725","multiplyCuda","16384","128","25.98","64.62"
"1000000","0.038","1.644725","multiplyCuda","16384","256","31.63","76.54"
"1000000","0.038","1.644725","multiplyCuda","16384","512","32.1","77.03"
"1000000","0.038","1.644725","multiplyCuda","16384","1024","30.77","73.66"
"1000000","0.077","1.644725","multiplyCuda","32768","32","7.51","19.5"
"1000000","0.051","1.644725","multiplyCuda","32768","64","14.41","37.26"
"1000000","0.038","1.644725","multiplyCuda","32768","128","26.3","65.62"
