# Elements 1e+06
[00000.263 ms] [1.644725] multiplySeq
[00000.046 ms] [1.644725] multiplyCuda<<<1024, 32>>>
[00000.039 ms] [1.644725] multiplyCuda<<<1024, 64>>>
[00000.037 ms] [1.644725] multiplyCuda<<<1024, 128>>>
[00000.037 ms] [1.644725] multiplyCuda<<<1024, 256>>>
[00000.037 ms] [1.644725] multiplyCuda<<<1024, 512>>>
[00000.038 ms] [1.644725] multiplyCuda<<<1024, 1024>>>
[00000.043 ms] [1.644725] multiplyCuda<<<2048, 32>>>
[00000.038 ms] [1.644725] multiplyCuda<<<2048, 64>>>
[00000.038 ms] [1.644725] multiplyCuda<<<2048, 128>>>
[00000.039 ms] [1.644725] multiplyCuda<<<2048, 256>>>
[00000.038 ms] [1.644725] multiplyCuda<<<2048, 512>>>
[00000.038 ms] [1.644725] multiplyCuda<<<2048, 1024>>>
[00000.042 ms] [1.644725] multiplyCuda<<<4096, 32>>>
[00000.038 ms] [1.644725] multiplyCuda<<<4096, 64>>>
[00000.038 ms] [1.644725] multiplyCuda<<<4096, 128>>>
[00000.038 ms] [1.644725] multiplyCuda<<<4096, 256>>>
[00000.037 ms] [1.644725] multiplyCuda<<<4096, 512>>>
[00000.038 ms] [1.644725] multiplyCuda<<<4096, 1024>>>
[00000.042 ms] [1.644725] multiplyCuda<<<8192, 32>>>
[00000.041 ms] [1.644725] multiplyCuda<<<8192, 64>>>
[00000.038 ms] [1.644725] multiplyCuda<<<8192, 128>>>
[00000.038 ms] [1.644725] multiplyCuda<<<8192, 256>>>
[00000.038 ms] [1.644725] multiplyCuda<<<8192, 512>>>
[00000.039 ms] [1.644725] multiplyCuda<<<8192, 1024>>>
[00000.052 ms] [1.644725] multiplyCuda<<<16384, 32>>>
[00000.050 ms] [1.644725] multiplyCuda<<<16384, 64>>>
[00000.038 ms] [1.644725] multiplyCuda<<<16384, 128>>>
[00000.038 ms] [1.644725] multiplyCuda<<<16384, 256>>>
[00000.038 ms] [1.644725] multiplyCuda<<<16384, 512>>>
[00000.038 ms] [1.644725] multiplyCuda<<<16384, 1024>>>
[00000.077 ms] [1.644725] multiplyCuda<<<32768, 32>>>
[00000.051 ms] [1.644725] multiplyCuda<<<32768, 64>>>
[00000.038 ms] [1.644725] multiplyCuda<<<32768, 128>>>
[00000.038 ms] [1.644725] multiplyCuda<<<32768, 256>>>
[00000.037 ms] [1.644725] multiplyCuda<<<32768, 512>>>
[00000.038 ms] [1.644725] multiplyCuda<<<32768, 1024>>>

# Elements 1e+07
[00002.356 ms] [1.644725] multiplySeq
[00000.243 ms] [1.644725] multiplyCuda<<<1024, 32>>>
[00000.181 ms] [1.644725] multiplyCuda<<<1024, 64>>>
[00000.175 ms] [1.644725] multiplyCuda<<<1024, 128>>>
[00000.175 ms] [1.644725] multiplyCuda<<<1024, 256>>>
[00000.175 ms] [1.644725] multiplyCuda<<<1024, 512>>>
[00000.170 ms] [1.644725] multiplyCuda<<<1024, 1024>>>
[00000.184 ms] [1.644725] multiplyCuda<<<2048, 32>>>
[00000.174 ms] [1.644725] multiplyCuda<<<2048, 64>>>
[00000.172 ms] [1.644725] multiplyCuda<<<2048, 128>>>
[00000.174 ms] [1.644725] multiplyCuda<<<2048, 256>>>
[00000.171 ms] [1.644725] multiplyCuda<<<2048, 512>>>
[00000.171 ms] [1.644725] multiplyCuda<<<2048, 1024>>>
[00000.186 ms] [1.644725] multiplyCuda<<<4096, 32>>>
[00000.172 ms] [1.644725] multiplyCuda<<<4096, 64>>>
[00000.173 ms] [1.644725] multiplyCuda<<<4096, 128>>>
[00000.169 ms] [1.644725] multiplyCuda<<<4096, 256>>>
[00000.171 ms] [1.644725] multiplyCuda<<<4096, 512>>>
[00000.170 ms] [1.644725] multiplyCuda<<<4096, 1024>>>
