elements,time,sum,technique,block_size,thread_duty
"1000000","0.314","1.644933","multiplySeq","0","0"
"1000000","0.074","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.052","1.644933","multiplyCuda","0","0"
"1000000","0.054","1.644933","multiplyCuda","0","0"
"1000000","0.052","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.056","1.644933","multiplyCuda","0","0"
"1000000","0.063","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.048","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.053","1.644933","multiplyCuda","0","0"
"1000000","0.057","1.644933","multiplyCuda","0","0"
"1000000","0.061","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.053","1.644933","multiplyCuda","0","0"
"1000000","0.056","1.644933","multiplyCuda","0","0"
"1000000","0.062","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.048","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.052","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.057","1.644933","multiplyCuda","0","0"
"1000000","0.063","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.052","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.049","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.053","1.644933","multiplyCuda","0","0"
"1000000","0.058","1.644933","multiplyCuda","0","0"
"1000000","0.065","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.048","1.644933","multiplyCuda","0","0"
"1000000","0.052","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.05","1.644933","multiplyCuda","0","0"
"1000000","0.051","1.644933","multiplyCuda","0","0"
"1000000","0.052","1.644933","multiplyCuda","0","0"
